name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dortmund,2018-06-12,18,13.1,15.3,18,13.1,15.3,10.8,75,0.5,100,20.83,rain,,,,18.3,132.7,,69.9,10,142.5,12.1,6,,2018-06-12T05:12:58,2018-06-12T21:47:22,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-13,18,10.1,14.5,18,10.1,14.5,8.8,69.8,0,0,0,,,,,18.2,314,,88.1,10,130.5,11,4,,2018-06-13T05:12:44,2018-06-13T21:47:59,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-14,22,8.1,14.8,22,5.4,14.3,9.4,73.1,2,100,33.33,rain,,,,22.4,202.8,,25.7,10,161.5,14,6,,2018-06-14T05:12:34,2018-06-14T21:48:33,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-15,23.1,14,18.5,23.1,14,18.5,13,73.3,0.5,100,20.83,rain,,,27.7,9.4,191.1,,64.5,8.7,231.4,20.1,9,,2018-06-15T05:12:26,2018-06-15T21:49:04,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW,AS204"
Dortmund,2018-06-16,24.9,15.9,20,24.9,15.9,20,13,66.3,0.7,100,20.83,rain,,,,19.9,215.5,,32.3,10,165.5,14.4,6,,2018-06-16T05:12:22,2018-06-16T21:49:32,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-17,19,12.1,16.5,19,12.1,16.5,11.2,72.5,0,0,0,,,,,27.6,238.2,,49.3,9.8,139,12.1,4,,2018-06-17T05:12:20,2018-06-17T21:49:58,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-18,21,14.1,17.8,21,14.1,17.8,12.6,71.8,0.9,100,37.5,rain,,,,25.4,218.5,,89.6,10,93.1,8,3,,2018-06-18T05:12:22,2018-06-18T21:50:20,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW,AS204"
Dortmund,2018-06-19,22,14.7,17.9,22,14.7,17.9,14.1,78.9,1,100,41.67,rain,,,,20.3,233.9,,76.9,9.7,89.1,7.5,3,,2018-06-19T05:12:26,2018-06-19T21:50:39,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW,AS204"
Dortmund,2018-06-20,28,17,21.9,28,17,21.9,15.3,68.5,0,0,0,,,,,14.8,230.2,,64.3,10,240.4,20.6,8,,2018-06-20T05:12:34,2018-06-20T21:50:56,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-21,19,11.1,16.5,19,11.1,16.5,10.4,70.2,1.4,100,25,rain,,,63,22.6,265.5,,48.6,9.8,200.1,17.4,9,,2018-06-21T05:12:44,2018-06-21T21:51:09,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-22,16.1,10,12.5,16.1,10,12.5,7.6,72.6,2,100,50,rain,,,46.4,20.6,278.5,,71.6,9.8,166.7,14.4,5,,2018-06-22T05:12:58,2018-06-22T21:51:19,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-23,19,10,14.1,19,10,14.1,7.6,67.1,0,0,0,,,,,16.8,289.5,,57.1,10,172,14.9,6,,2018-06-23T05:13:15,2018-06-23T21:51:27,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-24,16.1,10.1,13.7,16.1,10.1,13.7,9.3,75.5,0,0,0,,,,,12.8,265.8,,76.8,9.8,118.6,10.3,4,,2018-06-24T05:13:34,2018-06-24T21:51:31,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-25,22,12.1,16.2,22,12.1,16.2,11.8,78,0,0,0,,,,,12.9,313,,71.5,9,205.8,17.6,10,,2018-06-25T05:13:57,2018-06-25T21:51:32,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-26,17.1,11.1,13.8,17.1,11.1,13.8,10.5,81,0,0,0,,,,,11.4,145.3,,61.8,9.8,113.8,9.8,4,,2018-06-26T05:14:22,2018-06-26T21:51:30,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-27,25,9.1,17.8,25,8.6,17.7,10.6,68.2,0,0,0,,,,,23.9,74.8,,3.3,8.8,288.2,24.8,9,,2018-06-27T05:14:50,2018-06-27T21:51:24,0.5,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-28,27,11.2,20.5,26.6,11.2,20.5,10.4,54.8,0,0,0,,,,,18.5,56.3,,1.1,10,280,24,9,,2018-06-28T05:15:21,2018-06-28T21:51:16,0.5,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-29,28,13.1,21.5,27.3,13.1,21.3,11.4,56.6,0,0,0,,,,,14.9,53.4,,0,10,298.3,25.6,9,,2018-06-29T05:15:55,2018-06-29T21:51:04,0.51,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-06-30,27,14.1,20.9,26.2,14.1,20.9,9.2,53,0,0,0,,,,33.5,27.5,52.4,,0.1,10,299.8,25.7,9,,2018-06-30T05:16:32,2018-06-30T21:50:50,0.53,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-01,25.1,11,19.5,25.1,11,19.5,4.2,39,0,0,0,,,,44.5,27.6,79.5,,0,10,301,25.6,9,,2018-07-01T05:17:11,2018-07-01T21:50:32,0.55,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-02,26,10.1,19.2,26,10.1,19.2,4.8,40.9,0,0,0,,,,,18.3,64.9,,0,10,301.3,26.1,9,,2018-07-02T05:17:53,2018-07-02T21:50:11,0.58,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
